location_id,year,age_group_id,sex_id,mean
83,1970,151,1,8.56
83,1970,151,2,7.72
83,1970,152,1,8.39
83,1970,152,2,6.94
83,1970,153,1,8.09
83,1970,153,2,6.08
83,1970,154,1,7.33
83,1970,154,2,4.87
85,1970,149,1,9.8
85,1970,149,2,9.51
85,1970,150,1,9.84
85,1970,150,2,9.19
85,1970,151,1,9.38
85,1970,151,2,8.31
85,1970,152,1,8.8
85,1970,152,2,7.55
85,1970,153,1,8.17
85,1970,153,2,6.63
85,1970,154,1,7.36
85,1970,154,2,5.66
86,1970,149,1,8.95
86,1970,149,2,8.51
86,1970,150,1,8.33
86,1970,150,2,7.7
86,1970,151,1,7.48
86,1970,151,2,6.56
86,1970,152,1,6.77
86,1970,152,2,5.5
86,1970,153,1,5.96
86,1970,153,2,4.66
86,1970,154,1,5.46
86,1970,154,2,4.29
115,1970,149,1,6.2
115,1970,149,2,6.39
115,1970,150,1,5.59
115,1970,150,2,5.51
115,1970,151,1,4.81
115,1970,151,2,4.55
115,1970,152,1,4.19
115,1970,152,2,3.97
115,1970,153,1,3.77
115,1970,153,2,3.51
115,1970,154,1,3.38
115,1970,154,2,3.11
144,1970,149,1,6.48
144,1970,149,2,4.96
144,1970,150,1,5.87
144,1970,150,2,4
144,1970,151,1,5.21
144,1970,151,2,2.83
144,1970,152,1,4.11
144,1970,152,2,1.63
144,1970,153,1,3.46
144,1970,153,2,0.98
144,1970,154,1,1.94
144,1970,154,2,0.4
67,1970,149,1,9.33
67,1970,149,2,9.12
67,1970,150,1,9.78
67,1970,150,2,9.19
67,1970,151,1,8.99
67,1970,151,2,8.21
67,1970,152,1,8.17
67,1970,152,2,7.28
67,1970,153,1,7.36
67,1970,153,2,6.24
67,1970,154,1,6.51
67,1970,154,2,4.9
36,1970,149,1,6.56
36,1970,149,2,6.35
36,1970,150,1,7.52
36,1970,150,2,7.06
36,1970,151,1,7.4
36,1970,151,2,6.75
36,1970,152,1,6.71
36,1970,152,2,5.83
36,1970,153,1,5.79
36,1970,153,2,4.52
36,1970,154,1,4.54
36,1970,154,2,2.87
180,1970,149,1,4.15
180,1970,149,2,3.26
180,1970,150,1,4.19
